date,side,entry_time,entry_price,exit_time,exit_price,shares,pnl,stopped_out,eod_flatten
2020-07-27,SHORT,2020-07-27 09:31:00-04:00,12.88,2020-07-27 09:34:00-04:00,12.98,1940,-193.99999999999932,True,False
2020-07-27,LONG,2020-07-27 09:34:00-04:00,12.98,2020-07-27 11:14:00-04:00,13.01,1911,57.329999999998776,True,False
2020-07-27,SHORT,2020-07-27 11:14:00-04:00,13.01,2020-07-27 12:13:00-04:00,13.04,1911,-57.329999999998776,True,False
2020-07-27,LONG,2020-07-27 12:13:00-04:00,13.04,2020-07-27 12:28:00-04:00,13.03,1902,-19.019999999999595,True,False
2020-07-27,SHORT,2020-07-27 12:28:00-04:00,13.03,2020-07-27 12:38:00-04:00,13.09,1902,-114.12000000000094,True,False
2020-07-27,LONG,2020-07-27 12:38:00-04:00,13.09,2020-07-27 15:52:00-04:00,13.32,1884,433.3200000000008,False,True
2020-07-28,SHORT,2020-07-28 09:31:00-04:00,13.15,2020-07-28 10:30:00-04:00,13.18,1909,-57.26999999999878,True,False
2020-07-28,LONG,2020-07-28 10:30:00-04:00,13.18,2020-07-28 10:31:00-04:00,13.16,1900,-37.99999999999919,True,False
2020-07-28,SHORT,2020-07-28 10:31:00-04:00,13.16,2020-07-28 10:56:00-04:00,13.21,1900,-95.00000000000135,True,False
2020-07-28,LONG,2020-07-28 10:56:00-04:00,13.21,2020-07-28 11:09:00-04:00,13.12,1886,-169.74000000000308,True,False
2020-07-28,SHORT,2020-07-28 11:09:00-04:00,13.12,2020-07-28 11:14:00-04:00,13.22,1886,-188.6000000000027,True,False
2020-07-28,LONG,2020-07-28 11:14:00-04:00,13.22,2020-07-28 12:11:00-04:00,13.14,1857,-148.56000000000014,True,False
2020-07-28,SHORT,2020-07-28 12:11:00-04:00,13.14,2020-07-28 12:34:00-04:00,13.19,1857,-92.84999999999802,True,False
2020-07-28,LONG,2020-07-28 12:34:00-04:00,13.19,2020-07-28 13:16:00-04:00,13.19,1843,0.0,True,False
2020-07-28,SHORT,2020-07-28 13:16:00-04:00,13.19,2020-07-28 13:20:00-04:00,13.24,1843,-92.15000000000131,True,False
2020-07-28,LONG,2020-07-28 13:20:00-04:00,13.24,2020-07-28 14:03:00-04:00,13.2,1829,-73.16000000000169,True,False
2020-07-28,SHORT,2020-07-28 14:03:00-04:00,13.2,2020-07-28 15:59:00-04:00,12.84,1829,658.4399999999989,False,True
2020-07-29,SHORT,2020-07-29 09:31:00-04:00,13.06,2020-07-29 09:32:00-04:00,13.08,1899,-37.979999999999194,True,False
2020-07-29,LONG,2020-07-29 09:32:00-04:00,13.08,2020-07-29 12:08:00-04:00,13.1,1893,37.85999999999919,True,False
2020-07-29,SHORT,2020-07-29 12:08:00-04:00,13.1,2020-07-29 12:27:00-04:00,13.17,1893,-132.51000000000053,True,False
2020-07-29,LONG,2020-07-29 12:27:00-04:00,13.17,2020-07-29 15:05:00-04:00,13.15,1873,-37.4599999999992,True,False
2020-07-29,SHORT,2020-07-29 15:05:00-04:00,13.15,2020-07-29 15:07:00-04:00,13.2,1873,-93.649999999998,True,False
2020-07-29,LONG,2020-07-29 15:07:00-04:00,13.2,2020-07-29 15:59:00-04:00,13.28,1859,148.72000000000014,False,True
2020-07-30,LONG,2020-07-30 09:32:00-04:00,12.98,2020-07-30 09:54:00-04:00,12.97,1902,-19.019999999999595,True,False
2020-07-30,SHORT,2020-07-30 09:54:00-04:00,12.97,2020-07-30 10:32:00-04:00,12.98,1902,-19.019999999999595,True,False
2020-07-30,LONG,2020-07-30 10:32:00-04:00,12.98,2020-07-30 15:59:00-04:00,13.49,1899,968.4899999999996,False,True
2020-07-31,SHORT,2020-07-31 09:32:00-04:00,14.06,2020-07-31 11:15:00-04:00,13.9,1822,291.52000000000027,True,False
2020-07-31,LONG,2020-07-31 11:15:00-04:00,13.9,2020-07-31 11:36:00-04:00,13.88,1864,-37.279999999999205,True,False
2020-07-31,SHORT,2020-07-31 11:36:00-04:00,13.88,2020-07-31 11:46:00-04:00,13.92,1864,-74.55999999999841,True,False
2020-07-31,LONG,2020-07-31 11:46:00-04:00,13.92,2020-07-31 11:59:00-04:00,13.8,1853,-222.35999999999856,True,False
